,_id,created_at,favorite_count,featch_time,full_text,keyword,lang,quote_count,reply_count,retweet_count,source,tid,tweet_url,user_url
2836,6513dc330408657d8a04aaea,Sun Aug 13 07:03:15 +0000 2023,0,2023-09-27,"[一刀未剪] 中國僑民高喊""反對中國武統台灣""! 賴清德過境紐約抵下榻飯店 僑胞以擴音器演唱歌曲等待 熱情揮舞國旗齊喊台灣加油｜【焦點人物大現場... https://t.co/rWZqMCsBxi via @YouTube",賴清德 反對 until:2023-08-31 since:2023-08-01,zh,0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1690620009133858816,https://twitter.com/chmxng1/status/1690620009133858816,https://twitter.com/chmxng1
2837,6513dc3b0408657d8a04aafa,Tue Jul 04 01:20:20 +0000 2023,0,2023-09-27,"好奇找了一下賴的募款網站，SEO 做超爛... Google 用賴清德、賴清德 募款完全找不到...最後是去 IG 找 linktree ...

進去看見這個大大的 Team Taiwan 覺得超靠北，好像不挺他就不是 Team Taiwan 一樣。反對者都是別隊～是什麼我不知道，反正不是 Team Taiwan 就對了🙄… https://t.co/UkNSP0opSF",賴清德 反對 until:2023-08-01 since:2023-07-02,zh,0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1676038199007916032,https://twitter.com/0xthk/status/1676038199007916032,https://twitter.com/0xthk
2838,6513dc3b0408657d8a04aafe,Mon Jul 03 23:36:51 +0000 2023,0,2023-09-27,"【 #環球直擊 】
#中共官媒甩鍋 稱「退林還耕」是偽概念；
#山東農民用黃河水要收費 乾旱仍不放水；
反對重啟服貿 賴清德：
走回老路絕對不利台灣酷刑受害者日 
#歐洲法輪功法國遊行反迫害。
请观察   https://t.co/RiEdJ216bs
https://t.co/PL2ze2TUbR",賴清德 反對 until:2023-08-01 since:2023-07-02,zh,0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1676012158012801024,https://twitter.com/MaryLi91806634/status/1676012158012801024,https://twitter.com/MaryLi91806634
2839,6513dc3b0408657d8a04ab00,Tue Jul 18 07:56:26 +0000 2023,0,2023-09-27,"美國證實賴清德""8月將過境""！中國氣噗噗急 跳腳嗆反對""將祭措施"" 布林肯證實""行之有年""：中無理由藉此進行挑釁行為｜記者 游任博 劉安晉｜【國... https://t.co/vw8hbrhIPy 來自 @YouTube",賴清德 反對 until:2023-08-01 since:2023-07-02,zh,0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1681211312406413312,https://twitter.com/joshuah09101980/status/1681211312406413312,https://twitter.com/joshuah09101980
2840,6513dc3b0408657d8a04ab02,Thu Sep 21 16:47:47 +0000 2023,85,2023-09-27,Discover Spotify Premium prices in your country now! Visit 👉 https://t.co/bL6plFYQrP and turn up the volume on your music experience! 🎧💥 #music #Spotify #ExploreMore https://t.co/DnTnfOCVp7,賴清德 反對 until:2023-08-01 since:2023-07-02,en,0,5,9,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1704900240174723160,https://twitter.com/MindMuzNetworks/status/1704900240174723160,https://twitter.com/MindMuzNetworks
2841,6513dc3b0408657d8a04ab06,Fri Jul 21 02:01:38 +0000 2023,0,2023-09-27,"賴清德要給私立大學生學雜費補助，一年2.5萬元以上，每年多花150億元。我持反對態度。教育資源有限，私立大學學費應該不是最優先補助項目。選前大灑幣買青年票賄選，難看至極。

補助政策帶有鼓勵性質，請問政府是鼓勵大家讀私立大學嗎？大學非義務教育，請問私立幼稚園小學國中高中要不... https://t.co/K97OqFXrMW",賴清德 反對 until:2023-08-01 since:2023-07-02,zh,0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1682209186669641728,https://twitter.com/Abdulla18403196/status/1682209186669641728,https://twitter.com/Abdulla18403196
2842,6513dc3b0408657d8a04ab0a,Thu Jul 06 03:55:35 +0000 2023,9,2023-09-27,"@ChenMar62267163 @dabowagaga 政院今拍板提高囤房稅2.0　綠黨團：回應社會對居住正義的聲音
2023年07月6日 11:16
六都囤房稅新北仍卡關

反了吧？一個反囤房稅的侯友宜，一個公然在議會宣稱不會打房的柯文哲
想用噴屎一間房產賴清德，公然反對唯一在居住正義有表現民進黨。還搞出房產多筆地主大聯合，只能騙沒有腦漿的柯布林罷了 https://t.co/ZT1yQ9P2PH",賴清德 反對 until:2023-08-01 since:2023-07-02,zh,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1676802043338711041,https://twitter.com/dianyulin99/status/1676802043338711041,https://twitter.com/dianyulin99
2843,6513dc430408657d8a04ab1a,Sun Jun 25 05:23:21 +0000 2023,238,2023-09-27,"賴清德提出私校教育補助政策牛肉，社會反對意見繁多。

但全體軍公教「公務人員子女教育補助」早已行之有年，已退休公務人員一定排富條件下適用（在職者皆適用）。

打造更公平的社會是對的，窮不能窮教育不該是口號，過去獨厚的並不是真的窮，新的補助真的可以幫到很多人。

https://t.co/gUbNLbZMZn https://t.co/BoFJPa5YQ7",賴清德 反對 until:2023-07-02 since:2023-06-02,zh,4,4,81,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1672837863619301377,https://twitter.com/timsid99/status/1672837863619301377,https://twitter.com/timsid99
2844,6513dc4c0408657d8a04ab3f,Sun May 21 00:55:39 +0000 2023,18,2023-09-27,"反對落跑市長，我更要投給民進黨賴清德，哈哈哈哈哈🤣🤣🤣🤣🤣🤣
https://t.co/xHrJE8b8zC https://t.co/kCbhqYv61e",賴清德 反對 until:2023-06-02 since:2023-05-03,zh,0,0,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1660086920670752768,https://twitter.com/manyaro222/status/1660086920670752768,https://twitter.com/manyaro222
2845,6513dc4c0408657d8a04ab43,Tue Sep 26 22:36:48 +0000 2023,14,2023-09-27,"Looks like someone found a creative way to get food! 🐕🗑️

If you want to play as a doggo in an open world RPG Wishlist Lost Paws on Steam releasing September 29th▶️ https://t.co/8xwpTa4jph

#indiegame #IndieGameDev #Steam #gaming #doggo #cutegame https://t.co/v0Qc5pvC1J",賴清德 反對 until:2023-06-02 since:2023-05-03,en,1,1,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1706800013949419668,https://twitter.com/DungeoneeringS/status/1706800013949419668,https://twitter.com/DungeoneeringS
2846,6513dc4c0408657d8a04ab47,Wed May 31 14:25:15 +0000 2023,2,2023-09-27,"飛帆「林」九萬的相對剝奪感😮
一起來賓果！

1️⃣民進黨今日徵召林飛帆參選台北市第三選區，高喊凍蒜，可是飛帆，你是不是忘了過去那個反對南鐵東移、無法信任賴清德的自己？…… https://t.co/OATCH8YehL",賴清德 反對 until:2023-06-02 since:2023-05-03,zh,0,1,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1663914540029952002,https://twitter.com/OlB5xR6vzI6Vv4B/status/1663914540029952002,https://twitter.com/OlB5xR6vzI6Vv4B
2847,6513dc4c0408657d8a04ab49,Sun May 21 15:16:12 +0000 2023,0,2023-09-27,"民進黨主張台獨？

別鬧了啦，幹。蔡英文之前反對東奧正名，哪裡主張台獨了？ 柯文哲主張「二岸一家親」，小粉綠幹得要死，結果賴清德提出「二岸是兄弟之邦」.....呦，兄弟不就是一家親了嗎？怎麼，小粉綠閉嘴了阿？

民進黨就是幹你涼的雙標政黨 https://t.co/3k0H2pXgsy",賴清德 反對 until:2023-06-02 since:2023-05-03,zh,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1660303484502278144,https://twitter.com/topSpaceWarrior/status/1660303484502278144,https://twitter.com/topSpaceWarrior
2848,6513dc4c0408657d8a04ab4d,Wed May 24 17:34:07 +0000 2023,2,2023-09-27,"賴清德說自己是務實的台獨工作者，所以是「不統」

賴又說台灣已是主權獨立國家，沒有獨立的必要，所以是「不獨」

賴主張和平，反對戰爭，所以是「不武」

所以賴清德主張「不統、不獨、不武」，跟馬英九一樣。如果馬英九舔共賣台，為何你民進黨的主張跟馬英九一樣？幹你涼

https://t.co/RM3Hhe8lYU",賴清德 反對 until:2023-06-02 since:2023-05-03,zh,0,1,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1661425358095392768,https://twitter.com/topSpaceWarrior/status/1661425358095392768,https://twitter.com/topSpaceWarrior
2849,6513dc550408657d8a04ab54,Tue May 02 11:18:32 +0000 2023,0,2023-09-27,馬英九希臘行強調「一中」　賴清德批根本走回頭路 副總統賴清德說，「馬英九他是走回過去一個中共國原則的一中架構，完全不理會台灣社會，絕大多數台灣民眾是反對統一的。」 https://t.co/R5XsHmoAGP,賴清德 反對 until:2023-05-03 since:2023-04-03,zh,0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1653358303500701696,https://twitter.com/mqjdQ6TQr13mfr6/status/1653358303500701696,https://twitter.com/mqjdQ6TQr13mfr6
