node1,node2,node3,node4,node5,rela1,rela2,rela3,rela4
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/dowchang,https://twitter.com/Tiger7775555,1,1,0,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/dowchang,https://twitter.com/liuyuan_1912,1,1,0,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/dowchang,https://twitter.com/RRogerok,1,1,0,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/joec_ccd,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/happy8888899999,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/ZYZGWS,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/GuoPing2010SF,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/dowchang,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/HuanBinTsinTong,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/guanshanyue260,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/loveROCTW1911,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/yangjunpeng9,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/coconut231lemon,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Andydataotao331,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/jjTkbsvTgOiPshi,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/HuYang63618670,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Jamesiroc168,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/qinaijingcheng1,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/joeyisbest1235,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/CommieThanos,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Jwsaman1,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/maomao21K,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/A_AWanderlust,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/sanny32767167,1,1,1,0
